call_idx,arm,n,seed,point,rows_l1,rows_l2,mode,matrix_id,exact,syndrome_ok,iterations,finite,crash,timeout,wall_timeout,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok,worker_pid,respawn_pid,error
1,B0_D5_DV3_NATIVE,64,2026091000,f1.2,59,52,L1,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.11190363949955584,0.7600120001006871,88203264,True,16112,,
2,B0_D5_DV3_NATIVE,64,2026091000,square,64,64,L1,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.11190363949955584,0.9767899001017213,88276992,True,17684,,
3,B0_D5_DV3_NATIVE,64,2026091001,f1.2,59,52,L1,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.0877572481655559,0.7959292000159621,88018944,True,40600,,
4,B0_D5_DV3_NATIVE,64,2026091001,square,64,64,L1,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.0877572481655559,0.9835886000655591,88158208,True,16964,,
5,B0_D5_DV3_NATIVE,64,2026091002,square,64,64,L1,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.08255773208352536,0.9852742999792099,88297472,True,42992,,
6,B0_D5_DV3_NATIVE,64,2026091002,f1.2,59,52,L1,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.08255773208352536,0.8032121998257935,88129536,True,5240,,
7,B0_D5_DV3_NATIVE,64,2026091003,f1.2,59,52,L1,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.12199030756002073,0.7640253000427037,88113152,True,2868,,
8,B0_D5_DV3_NATIVE,64,2026091003,square,64,64,L1,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.12199030756002073,0.9915899999905378,88412160,True,35976,,
9,B1_D5_DV3_COMMON_LABELS,64,2026091000,f1.2,59,52,L1,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.11190363949955584,0.786096999887377,88182784,True,39856,,
10,B1_D5_DV3_COMMON_LABELS,64,2026091000,square,64,64,L1,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.11190363949955584,1.00018829992041,88080384,True,29100,,
