arm,n,layer,prefix_rows,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,four_cycles,four_cycle_variable_incidence_max,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,row_degree_max,row_degree_sumsq,girth,girth_reason,m_cycle_rank,window_overflow,eligible,determinism_ok
B0_D5_DV3_NATIVE,64,L1,49,49,0,0,1,1.0,0,0,0,0,0,3,441,6,,,0,True,True
B0_D5_DV3_NATIVE,64,L1,59,59,0,0,1,1.0,2,2,0,0,0,3,531,4,,,0,True,True
B0_D5_DV3_NATIVE,64,L1,64,64,0,0,1,1.0,4,2,0,0,0,3,576,4,,,0,True,True
B0_D5_DV3_NATIVE,64,L2,43,43,0,0,1,1.0,2,2,0,0,0,3,387,4,,,0,True,True
B0_D5_DV3_NATIVE,64,L2,52,52,0,0,1,1.0,4,2,0,0,0,3,468,4,,,0,True,True
B0_D5_DV3_NATIVE,64,L2,64,64,0,0,1,1.0,5,2,0,0,0,3,576,4,,,0,True,True
B0_D5_DV3_NATIVE,128,L1,98,98,0,0,1,1.0,0,0,0,0,0,3,882,8,,,0,True,True
B0_D5_DV3_NATIVE,128,L1,118,118,0,0,1,1.0,2,2,0,0,0,3,1062,4,,,0,True,True
B0_D5_DV3_NATIVE,128,L1,128,128,0,0,1,1.0,4,2,0,0,0,3,1152,4,,,0,True,True
B0_D5_DV3_NATIVE,128,L2,86,86,0,0,1,1.0,2,1,0,1,0,3,774,4,,,0,False,True
B0_D5_DV3_NATIVE,128,L2,104,104,0,0,1,1.0,2,1,0,1,0,3,936,4,,,0,False,True
B0_D5_DV3_NATIVE,128,L2,128,128,0,0,1,1.0,5,1,0,1,0,3,1152,4,,,0,False,True
B0_D5_DV3_NATIVE,256,L1,196,196,0,0,11,0.140625,0,0,0,0,0,3,1764,6,,,0,False,True
B0_D5_DV3_NATIVE,256,L1,236,236,0,0,1,1.0,2,2,0,0,0,3,2124,4,,,0,True,True
B0_D5_DV3_NATIVE,256,L1,256,255,0,0,1,1.0,4,2,0,0,0,3,2304,4,,,0,False,True
B0_D5_DV3_NATIVE,256,L2,172,172,0,0,41,0.0625,0,0,0,0,0,3,1548,6,,,0,False,True
B0_D5_DV3_NATIVE,256,L2,208,208,0,0,7,0.7890625,2,2,0,0,0,3,1872,4,,,0,False,True
B0_D5_DV3_NATIVE,256,L2,256,256,0,0,1,1.0,4,2,0,0,0,3,2304,4,,,0,True,True
