call_idx,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
1,1.0,2026091300,L1_MARGINAL,L1,49,64,False,False,90,ok,True,46,41,0.40511709500060533,105172992,0.5344644270502605,0.10058957169288209,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF
2,1.0,2026091300,L1_ORACLE_U2,L1,49,64,False,False,90,ok,True,17,7,0.37977618900185917,105172992,1.0,0.715739932635885,1.1260798924512487,True,CHECK_UPDATED_CURRENT_BELIEF
3,1.0,2026091300,L2_MARGINAL,L2,43,64,False,False,90,ok,True,47,41,0.3163678639975842,105172992,0.5592515222869034,0.11534682722632311,4.24772934276203,True,CHECK_UPDATED_CURRENT_BELIEF
4,1.0,2026091300,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,32,10,0.3186107580004318,105172992,0.9999999222267797,0.47987222931132834,2.2155601129461147,True,CHECK_UPDATED_CURRENT_BELIEF
5,1.0,2026091301,L1_MARGINAL,L1,49,64,False,False,90,ok,True,47,44,0.409267908999027,105172992,0.5698283321087699,0.12141170124151934,4.1391814361487,True,CHECK_UPDATED_CURRENT_BELIEF
6,1.0,2026091301,L1_ORACLE_U2,L1,49,64,False,False,90,ok,True,6,2,0.40664403299888363,105172992,1.0,0.9117869421510869,0.3340767506428897,True,CHECK_UPDATED_CURRENT_BELIEF
7,1.0,2026091301,L2_MARGINAL,L2,43,64,False,False,90,ok,True,49,42,0.3729925249972439,105172992,0.5065478593875512,0.0901759721612575,4.261973289242913,True,CHECK_UPDATED_CURRENT_BELIEF
8,1.0,2026091301,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,19,8,0.3384089619976294,105172992,0.9999999694296113,0.6384882232376909,1.3864891580973357,True,CHECK_UPDATED_CURRENT_BELIEF
9,1.0,2026091302,L1_MARGINAL,L1,49,64,False,False,90,ok,True,39,29,0.36039375600012136,105172992,0.9991153309374752,0.2931486609477856,3.106236069312042,True,CHECK_UPDATED_CURRENT_BELIEF
10,1.0,2026091302,L1_ORACLE_U2,L1,49,64,True,True,4,ok,True,0,0,0.016022274998249486,105172992,0.999999999999994,0.9953867458376713,0.032091232355614514,True,CHECK_UPDATED_CURRENT_BELIEF
11,1.0,2026091302,L2_MARGINAL,L2,43,64,False,False,90,ok,True,42,37,0.31684218299778877,105172992,0.5489894837921201,0.120638413159594,4.260152576305162,True,CHECK_UPDATED_CURRENT_BELIEF
