call_idx,identity_idx,schedule,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,check_node_updates,check_edge_updates,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
1,1,ROW_LAYERED,1.0,2026091300,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,41,0.43392927500099177,105304064,4410,13230,0.5344644270502605,0.10058957169288209,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF
2,1,FLOODING,1.0,2026091300,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,41,0.36228388600284234,105304064,4410,13230,0.5344644270502572,0.10058957169288216,4.154800827385998,True,CHECK_UPDATED_CURRENT_BELIEF
3,2,ROW_LAYERED,1.0,2026091300,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,17,7,0.35217269499844406,105304064,4410,13230,1.0,0.715739932635885,1.1260798924512487,True,CHECK_UPDATED_CURRENT_BELIEF
4,2,FLOODING,1.0,2026091300,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,17,7,0.3698301890035509,105304064,4410,13230,1.0,0.7157399678898795,1.1260732629022585,True,CHECK_UPDATED_CURRENT_BELIEF
5,3,ROW_LAYERED,1.0,2026091300,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,41,0.36302854400128126,105304064,3870,11610,0.5592515222869034,0.11534682722632311,4.24772934276203,True,CHECK_UPDATED_CURRENT_BELIEF
6,3,FLOODING,1.0,2026091300,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,41,0.373433197994018,105304064,3870,11610,0.5592515222869029,0.11534682722632322,4.247729342762031,True,CHECK_UPDATED_CURRENT_BELIEF
7,4,ROW_LAYERED,1.0,2026091300,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,32,10,0.3584833239947329,105304064,3870,11610,0.9999999222267797,0.47987222931132834,2.2155601129461147,True,CHECK_UPDATED_CURRENT_BELIEF
8,4,FLOODING,1.0,2026091300,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,32,10,0.3154470249937731,105304064,3870,11610,0.9999999222313378,0.4798728281482196,2.21555101587937,True,CHECK_UPDATED_CURRENT_BELIEF
9,5,ROW_LAYERED,1.0,2026091301,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,44,0.3528225519985426,105304064,4410,13230,0.5698283321087699,0.12141170124151934,4.1391814361487,True,CHECK_UPDATED_CURRENT_BELIEF
10,5,FLOODING,1.0,2026091301,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,44,0.3659592340045492,105304064,4410,13230,0.569828332108769,0.12141170124151929,4.139181436148698,True,CHECK_UPDATED_CURRENT_BELIEF
11,6,ROW_LAYERED,1.0,2026091301,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,6,2,0.4280343139980687,105304064,4410,13230,1.0,0.9117869421510869,0.3340767506428897,True,CHECK_UPDATED_CURRENT_BELIEF
12,6,FLOODING,1.0,2026091301,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,6,2,0.4047823380024056,105304064,4410,13230,1.0,0.9108550643951079,0.31466843424801383,True,CHECK_UPDATED_CURRENT_BELIEF
13,7,ROW_LAYERED,1.0,2026091301,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,49,42,0.3501603469994734,105304064,3870,11610,0.5065478593875512,0.0901759721612575,4.261973289242913,True,CHECK_UPDATED_CURRENT_BELIEF
14,7,FLOODING,1.0,2026091301,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,49,42,0.3151830290007638,105304064,3870,11610,0.5065478593875498,0.09017597216125744,4.261973289242914,True,CHECK_UPDATED_CURRENT_BELIEF
15,8,ROW_LAYERED,1.0,2026091301,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,19,8,0.3125830639983178,105304064,3870,11610,0.9999999694296113,0.6384882232376909,1.3864891580973357,True,CHECK_UPDATED_CURRENT_BELIEF
16,8,FLOODING,1.0,2026091301,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,19,8,0.30952401599643053,105304064,3870,11610,0.999999969398409,0.6384106741991893,1.3862754447981702,True,CHECK_UPDATED_CURRENT_BELIEF
17,9,ROW_LAYERED,1.0,2026091302,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,39,29,0.359840119999717,105304064,4410,13230,0.9991153309374752,0.2931486609477856,3.106236069312042,True,CHECK_UPDATED_CURRENT_BELIEF
18,9,FLOODING,1.0,2026091302,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,39,29,0.35470770399842877,105304064,4410,13230,0.9991153309376409,0.29314866094845005,3.106236069310496,True,CHECK_UPDATED_CURRENT_BELIEF
19,10,ROW_LAYERED,1.0,2026091302,L1_ORACLE_U2,L1,49,64,True,True,4,converged_exact,True,0,0,0.017111398999986704,105304064,196,588,0.999999999999994,0.9953867458376713,0.032091232355614514,True,CHECK_UPDATED_CURRENT_BELIEF
20,10,FLOODING,1.0,2026091302,L1_ORACLE_U2,L1,49,64,True,True,9,converged_exact,True,0,0,0.03540639399579959,105304064,441,1323,1.0,0.9933720081046897,0.03516240349895297,True,CHECK_UPDATED_CURRENT_BELIEF
21,11,ROW_LAYERED,1.0,2026091302,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.31180028800008586,105304064,3870,11610,0.5489894837921201,0.120638413159594,4.260152576305162,True,CHECK_UPDATED_CURRENT_BELIEF
22,11,FLOODING,1.0,2026091302,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.308333616994787,105304064,3870,11610,0.548989483792122,0.12063841315959399,4.2601525763051615,True,CHECK_UPDATED_CURRENT_BELIEF
23,12,ROW_LAYERED,1.0,2026091302,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,12,2,0.3094688650016906,105304064,3870,11610,1.0,0.789633917769569,0.479587713982629,True,CHECK_UPDATED_CURRENT_BELIEF
24,12,FLOODING,1.0,2026091302,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,12,2,0.3045702009985689,105304064,3870,11610,1.0,0.789632568757171,0.47959750070482204,True,CHECK_UPDATED_CURRENT_BELIEF
25,13,ROW_LAYERED,1.0,2026091303,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,47,0.3474881610018201,105304064,4410,13230,0.4071138920856712,0.10538588266193183,4.241132845504552,True,CHECK_UPDATED_CURRENT_BELIEF
26,13,FLOODING,1.0,2026091303,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,47,0.3437308729990036,105304064,4410,13230,0.4071138920856691,0.10538588266193154,4.241132845504554,True,CHECK_UPDATED_CURRENT_BELIEF
27,14,ROW_LAYERED,1.0,2026091303,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,13,8,0.3535235070012277,105304064,4410,13230,1.0,0.7957192258377451,0.7568545719604689,True,CHECK_UPDATED_CURRENT_BELIEF
28,14,FLOODING,1.0,2026091303,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,15,8,0.3593797950015869,105304064,4410,13230,1.0,0.7908853052129114,0.7875370172295656,True,CHECK_UPDATED_CURRENT_BELIEF
29,15,ROW_LAYERED,1.0,2026091303,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,48,42,0.31162215400399873,105304064,3870,11610,0.5375702955572002,0.09837401555601641,4.295457629668036,True,CHECK_UPDATED_CURRENT_BELIEF
