identity_idx,f,seed,condition,layer,rows,n,layered_exact,flooding_exact,layered_only_exact,flooding_only_exact,both_exact,neither_exact,layered_syndrome_ok,flooding_syndrome_ok,layered_only_syndrome_ok,flooding_only_syndrome_ok,both_syndrome_ok,neither_syndrome_ok,iteration_diff,check_update_diff,edge_update_diff,wall_ratio
1,1.0,2026091300,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.8348915523203967
2,1.0,2026091300,L1_ORACLE_U2,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0501387366365382
3,1.0,2026091300,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0286607049629133
4,1.0,2026091300,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.879948951261141
5,1.0,2026091301,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0372331131657957
6,1.0,2026091301,L1_ORACLE_U2,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9456773084884779
7,1.0,2026091301,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9001105684911769
8,1.0,2026091301,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9902136476533363
9,1.0,2026091302,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9857369545083181
10,1.0,2026091302,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,5,245,735,2.0691700307980136
11,1.0,2026091302,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9888817581679146
12,1.0,2026091302,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.984170737165773
13,1.0,2026091303,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9891872920447589
14,1.0,2026091303,L1_ORACLE_U2,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0165654840042613
15,1.0,2026091303,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0384291130938945
16,1.0,2026091303,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9546396010815319
17,1.0,2026091304,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9463522480513451
18,1.0,2026091304,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,3,147,441,1.7432289265085394
19,1.0,2026091304,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9956856876617987
20,1.0,2026091304,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9824328855374977
21,1.0,2026091305,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.940783613280081
22,1.0,2026091305,L1_ORACLE_U2,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9867371632930537
23,1.0,2026091305,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.956396438503961
24,1.0,2026091305,L2_ORACLE_U1,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.950368559667423
25,1.0,2026091306,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9862852589185872
26,1.0,2026091306,L1_ORACLE_U2,L1,49,64,True,False,True,False,False,False,True,False,True,False,False,False,56,2744,8232,2.5574145962351094
27,1.0,2026091306,L2_MARGINAL,L2,43,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9911792870355234
28,1.0,2026091306,L2_ORACLE_U1,L2,43,64,True,True,False,False,True,False,True,True,False,False,True,False,5,215,645,1.6962356481719572
29,1.0,2026091307,L1_MARGINAL,L1,49,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9805129426117805
30,1.0,2026091307,L1_ORACLE_U2,L1,49,64,True,True,False,False,True,False,True,True,False,False,True,False,5,245,735,2.1087468348648497
