pair_idx,f,seed,direction,source_layer,target_layer,rows,n,control_slot_idx,transfer_slot_idx,control_exact,transfer_exact,control_only_exact,transfer_only_exact,both_exact,neither_exact,control_syndrome_ok,transfer_syndrome_ok,control_only_syndrome_ok,transfer_only_syndrome_ok,both_syndrome_ok,neither_syndrome_ok,source_exact,source_provenance
1,1.0,2026091300,L1_TO_L2,L1,L2,43,64,2,3,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
2,1.0,2026091300,L2_TO_L1,L2,L1,49,64,5,6,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
3,1.0,2026091301,L1_TO_L2,L1,L2,43,64,8,9,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
4,1.0,2026091301,L2_TO_L1,L2,L1,49,64,11,12,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
5,1.0,2026091302,L1_TO_L2,L1,L2,43,64,14,15,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
6,1.0,2026091302,L2_TO_L1,L2,L1,49,64,17,18,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
7,1.0,2026091303,L1_TO_L2,L1,L2,43,64,20,21,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
8,1.0,2026091303,L2_TO_L1,L2,L1,49,64,23,24,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
9,1.0,2026091304,L1_TO_L2,L1,L2,43,64,26,27,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
10,1.0,2026091304,L2_TO_L1,L2,L1,49,64,29,30,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
11,1.0,2026091305,L1_TO_L2,L1,L2,43,64,32,33,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
12,1.0,2026091305,L2_TO_L1,L2,L1,49,64,35,36,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
13,1.0,2026091306,L1_TO_L2,L1,L2,43,64,38,39,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
14,1.0,2026091306,L2_TO_L1,L2,L1,49,64,41,42,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
15,1.0,2026091307,L1_TO_L2,L1,L2,43,64,44,45,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
16,1.0,2026091307,L2_TO_L1,L2,L1,49,64,47,48,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
17,1.0,2026091308,L1_TO_L2,L1,L2,43,64,50,51,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
18,1.0,2026091308,L2_TO_L1,L2,L1,49,64,53,54,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
19,1.0,2026091309,L1_TO_L2,L1,L2,43,64,56,57,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
20,1.0,2026091309,L2_TO_L1,L2,L1,49,64,59,60,False,False,False,False,False,True,False,False,False,False,False,True,False,CHECK_UPDATED
