pair_idx,f,seed,arm,source_layer,target_layer,source_rows,target_rows,n,source_slot_idx,target_slot_idx,source_provenance,target_provenance,source_exact,target_exact,l1_exact,l1_syndrome_ok,l2_exact,l2_syndrome_ok,both_layers_exact
1,1.0,2026091300,FORWARD_L1_TO_L2,L1,L2,49,43,64,1,2,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
2,1.0,2026091300,REVERSE_L2_TO_L1,L2,L1,43,49,64,3,4,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
3,1.0,2026091301,FORWARD_L1_TO_L2,L1,L2,49,43,64,5,6,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
4,1.0,2026091301,REVERSE_L2_TO_L1,L2,L1,43,49,64,7,8,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
5,1.0,2026091302,FORWARD_L1_TO_L2,L1,L2,49,43,64,9,10,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
6,1.0,2026091302,REVERSE_L2_TO_L1,L2,L1,43,49,64,11,12,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
7,1.0,2026091303,FORWARD_L1_TO_L2,L1,L2,49,43,64,13,14,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
8,1.0,2026091303,REVERSE_L2_TO_L1,L2,L1,43,49,64,15,16,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
9,1.0,2026091304,FORWARD_L1_TO_L2,L1,L2,49,43,64,17,18,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
10,1.0,2026091304,REVERSE_L2_TO_L1,L2,L1,43,49,64,19,20,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
11,1.0,2026091305,FORWARD_L1_TO_L2,L1,L2,49,43,64,21,22,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
12,1.0,2026091305,REVERSE_L2_TO_L1,L2,L1,43,49,64,23,24,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
13,1.0,2026091306,FORWARD_L1_TO_L2,L1,L2,49,43,64,25,26,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
14,1.0,2026091306,REVERSE_L2_TO_L1,L2,L1,43,49,64,27,28,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
15,1.0,2026091307,FORWARD_L1_TO_L2,L1,L2,49,43,64,29,30,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
16,1.0,2026091307,REVERSE_L2_TO_L1,L2,L1,43,49,64,31,32,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
17,1.0,2026091308,FORWARD_L1_TO_L2,L1,L2,49,43,64,33,34,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
18,1.0,2026091308,REVERSE_L2_TO_L1,L2,L1,43,49,64,35,36,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
19,1.0,2026091309,FORWARD_L1_TO_L2,L1,L2,49,43,64,37,38,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
20,1.0,2026091309,REVERSE_L2_TO_L1,L2,L1,43,49,64,39,40,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
21,1.0,2026091310,FORWARD_L1_TO_L2,L1,L2,49,43,64,41,42,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
22,1.0,2026091310,REVERSE_L2_TO_L1,L2,L1,43,49,64,43,44,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
23,1.0,2026091311,FORWARD_L1_TO_L2,L1,L2,49,43,64,45,46,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
24,1.0,2026091311,REVERSE_L2_TO_L1,L2,L1,43,49,64,47,48,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
25,1.0,2026091312,FORWARD_L1_TO_L2,L1,L2,49,43,64,49,50,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
26,1.0,2026091312,REVERSE_L2_TO_L1,L2,L1,43,49,64,51,52,CHECK_UPDATED,CHECK_UPDATED,False,False,False,False,False,False,False
